Date,Action/State,price
"2022-11-28, Close, 2490.27"
"2022-11-29, Close, 2494.55"
"2022-11-30, Close, 2512.16"
"2022-12-01, Close, 2504.76"
"2022-12-02, Close, 2503.70"
"2022-12-05, Close, 2467.19"
"2022-12-06, Close, 2474.31"
"2022-12-07, Close, 2437.80"
"2022-12-08, Close, 2436.65"
"2022-12-09, Close, 2399.72"
"2022-12-12, Close, 2403.40"
"2022-12-13, Close, 2414.35"
"2022-12-14, Close, 2405.61"
"2022-12-15, Close, 2371.44"
"2022-12-16, Close, 2359.71"
"2022-12-19, Close, 2390.71"
"2022-12-20, Close, 2411.40"
"2022-12-21, Close, 2377.10"
"2022-12-22, Close, 2370.93"
"2022-12-23, Close, 2301.40"
"2022-12-26, Close, 2321.50"
"2022-12-27, Close, 2340.49"
"2022-12-28, Close, 2340.26"
"2022-12-29, Close, 2339.20"
"2022-12-30, Close, 2342.79"
"2023-01-02, Close, 2369.19"
"2023-01-03, Close, 2351.85"
"2023-01-04, Close, 2316.44"
"2023-01-05, Close, 2312.30"
"2023-01-06, Close, 2333.32"
"2023-01-09, Close, 2388.41"
"2023-01-10, Close, 2353.09"
"2023-01-11, Close, 2323.43"
"2023-01-12, Close, 2273.26"
"2023-01-13, Close, 2269.58"
"2023-01-16, Close, 2247.96"
"2023-01-17, Close, 2279.88"
"2023-01-18, Close, 2276.11"
"2023-01-19, Close, 2273.67"
"2023-01-20, Close, 2246.63"
"2023-01-23, Close, 2235.27"
"2023-01-24, Close, 2222.07"
"2023-01-25, Close, 2191.35"
"2023-01-27, Close, 2149.78"
"2023-01-30, Close, 2170.38"
"2023-01-31, Close, 2164.96"
"2023-02-01, Close, 2152.12"
"2023-02-02, Close, 2140.21"
"2023-02-03, Close, 2142.10"
"2023-02-06, Close, 2125.96"
"2023-02-07, Close, 2120.85"
"2023-02-08, Close, 2163.21"
"2023-02-09, Close, 2166.98"
"2023-02-10, Close, 2149.14"
"2023-02-13, Close, 2136.90"
"2023-02-14, Close, 2187.26"
"2023-02-15, Close, 2236.79"
"2023-02-16, Close, 2235.04"
"2023-02-17, Close, 2244.38"
"2023-02-20, Close, 2220.65"
"2023-02-21, Close, 2238.77"
"2023-02-22, Close, 2187.99"
